chain_id,chain_name,year,matched_contracts_with_timestamp,EIP2612_count,EIP712_count,EIP5267_count,EIP1271_count,EIP2612_EIP712_count,EIP2612_EIP712_EIP5267_count,EIP712_EIP5267_count,EIP2612_pct_among_matched,EIP712_pct_among_matched,EIP5267_pct_among_matched,EIP1271_pct_among_matched
1,ethereum,2020,2150,1641,1928,0,276,1641,0,0,76.32558139534883,89.67441860465117,0.0,12.837209302325581
1,ethereum,2021,4539,3687,4410,0,267,3687,0,0,81.22934567085261,97.15796430931924,0.0,5.88235294117647
1,ethereum,2022,8673,5495,8141,3,1033,5495,1,3,63.35754640839386,93.86602098466506,0.03459010722933241,11.91052692263346
1,ethereum,2023,9587,6347,8911,1721,1141,6347,1296,1694,66.20423490142902,92.94878481276729,17.951392510691562,11.901533326379472
1,ethereum,2024,11295,7912,10543,5027,1474,7912,3968,4974,70.04869411243914,93.34218680832227,44.50641876936698,13.050022133687472
1,ethereum,2025,17405,13225,16554,8672,1785,13225,6417,8559,75.98391266877334,95.11060040218328,49.82476299913818,10.255673656995116
1,ethereum,2026,11387,7931,10728,5672,1348,7931,4157,5622,69.64960042153334,94.21269869149029,49.81118819706683,11.838060946693597
137,polygon,2020,160,125,137,0,24,125,0,0,78.125,85.625,0.0,15.0
137,polygon,2021,9521,8733,9382,0,312,8733,0,0,91.72355844974267,98.54006932044953,0.0,3.276966705178028
137,polygon,2022,41428,32645,40723,1,1487,32645,1,1,78.79936274983103,98.29825238968813,0.002413826397605484,3.589359853239355
137,polygon,2023,31373,17316,26498,3604,5726,17316,1739,3508,55.19395658687406,84.46116087081248,11.487584865967552,18.251362636662098
137,polygon,2024,20340,13435,19173,10868,2454,13435,7632,10652,66.05211406096362,94.26253687315635,53.431661750245816,12.064896755162243
137,polygon,2025,19602,13871,18415,12546,1785,13871,9492,12392,70.7631874298541,93.94449545964697,64.00367309458218,9.106213651668197
137,polygon,2026,9159,5655,8371,4934,1088,5655,3119,4889,61.74254831313463,91.39644065946064,53.87050988099138,11.879026094551808
56,binance,2020,717,705,716,0,1,705,0,0,98.32635983263597,99.86052998605301,0.0,0.1394700139470014
56,binance,2021,11145,9815,11031,0,244,9815,0,0,88.06639748766263,98.9771197846568,0.0,2.1893225661731717
56,binance,2022,16602,13367,16304,1,636,13367,1,1,80.51439585592097,98.205035537887,0.006023370678231539,3.8308637513552584
56,binance,2023,13354,9898,12876,2017,837,9898,1713,2007,74.12011382357346,96.42054815036694,15.104088662573012,6.267784933353303
56,binance,2024,15506,12550,15046,9928,829,12550,8831,9865,80.93641171159551,97.03340642332,64.02682832451954,5.346317554495035
56,binance,2025,25993,19639,25193,16234,1323,19639,12672,16049,75.55495710383565,96.92224829761858,62.45527642057477,5.089831877813258
56,binance,2026,21708,16055,21175,12677,850,16055,10105,12542,73.95890915791414,97.54468398747007,58.3978256863829,3.9156071494379954
43114,avalanche,2020,6,6,6,0,0,6,0,0,100.0,100.0,0.0,0.0
43114,avalanche,2021,3428,3310,3404,0,34,3310,0,0,96.55775962660444,99.29988331388564,0.0,0.9918319719953326
43114,avalanche,2022,3263,2777,3203,1,135,2777,1,1,85.10573092246399,98.16120134845234,0.030646644192460923,4.137296965982225
43114,avalanche,2023,2598,1730,2314,410,480,1730,331,407,66.5896843725943,89.0685142417244,15.78137028483449,18.475750577367204
43114,avalanche,2024,3423,2476,3165,1548,459,2476,1254,1522,72.33420975752264,92.46275197195443,45.22348816827345,13.409290096406663
43114,avalanche,2025,6146,5140,5942,2595,415,5140,2150,2557,83.63163032866905,96.68076797917344,42.22258379433778,6.752359258054019
43114,avalanche,2026,2425,1850,2327,1643,202,1850,1311,1634,76.28865979381443,95.95876288659794,67.75257731958763,8.329896907216495
