chain,taxonomy,risk_level,risk_category,taxonomy_ids,source_file,copied_file,copied
ethereum,T2_CROSS_CHAIN_REPLAY,High,"hardcoded_chainId,stale_cached_DOMAIN_SEPARATOR","T2_CROSS_CHAIN_REPLAY,T5_DOMAIN_FRESHNESS_FAILURE",/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/ethereum/verified_sources/2020/0xed324e10e9ca6797412a1b7d1666594fc73eea50_YFICOIN.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/ethereum/011_T2_CROSS_CHAIN_REPLAY_0xed324e10e9ca6797412a1b7d1666594fc73eea50_YFICOIN.sol,yes
ethereum,T2_CROSS_CHAIN_REPLAY,High,hardcoded_chainId,T2_CROSS_CHAIN_REPLAY,/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/ethereum/verified_sources/2020/0xa117000000e374afd3689c684010fb13418a6b25_ANTv2.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/ethereum/012_T2_CROSS_CHAIN_REPLAY_0xa117000000e374afd3689c684010fb13418a6b25_ANTv2.sol,yes
ethereum,T3_CROSS_CONTRACT_REPLAY,High,"hardcoded_chainId,incorrect_verifyingContract","T2_CROSS_CHAIN_REPLAY,T3_CROSS_CONTRACT_REPLAY",/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/ethereum/verified_sources/2024/0xdfb3d291ba493e7a3c835f0edba0b1b52979609a_ZoraCreator1155PremintExecutorImpl.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/ethereum/013_T3_CROSS_CONTRACT_REPLAY_0xdfb3d291ba493e7a3c835f0edba0b1b52979609a_ZoraCreator1155PremintExecutorImpl.sol,yes
ethereum,T3_CROSS_CONTRACT_REPLAY,High,"incorrect_verifyingContract,missing_chainId,missing_logical_domain_disambiguator","T2_CROSS_CHAIN_REPLAY,T3_CROSS_CONTRACT_REPLAY,T4_LOGICAL_DOMAIN_REPLAY",/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/ethereum/verified_sources/2024/0x3067f32b868a3e59958f0d8c598b69016adb328f_EETHDepositHelper.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/ethereum/014_T3_CROSS_CONTRACT_REPLAY_0x3067f32b868a3e59958f0d8c598b69016adb328f_EETHDepositHelper.sol,yes
ethereum,T3_CROSS_CONTRACT_REPLAY,High,"hardcoded_chainId,incorrect_verifyingContract","T2_CROSS_CHAIN_REPLAY,T3_CROSS_CONTRACT_REPLAY",/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/ethereum/verified_sources/2024/0xd8f6cf234ee4b689099677bd94fba0b1e005181d_ZoraCreator1155PremintExecutorImpl.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/ethereum/015_T3_CROSS_CONTRACT_REPLAY_0xd8f6cf234ee4b689099677bd94fba0b1e005181d_ZoraCreator1155PremintExecutorImpl.sol,yes
ethereum,T3_CROSS_CONTRACT_REPLAY,High,"incorrect_verifyingContract,missing_eip191_prefix","T1_UNSEPARATED_SIGNING_DOMAIN,T3_CROSS_CONTRACT_REPLAY",/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/ethereum/verified_sources/2020/0xb6ca5a72c3df4f9be1aefedda05bef948994cb83_Dollar.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/ethereum/016_T3_CROSS_CONTRACT_REPLAY_0xb6ca5a72c3df4f9be1aefedda05bef948994cb83_Dollar.sol,yes
ethereum,T3_CROSS_CONTRACT_REPLAY,High,"incorrect_verifyingContract,missing_eip191_prefix","T1_UNSEPARATED_SIGNING_DOMAIN,T3_CROSS_CONTRACT_REPLAY",/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/ethereum/verified_sources/2021/0x897ae928852d3521d164f22af096d9f778b7ebdf_Dollar.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/ethereum/017_T3_CROSS_CONTRACT_REPLAY_0x897ae928852d3521d164f22af096d9f778b7ebdf_Dollar.sol,yes
ethereum,T3_CROSS_CONTRACT_REPLAY,High,"hardcoded_chainId,incorrect_verifyingContract,proxy_stale_domain","T2_CROSS_CHAIN_REPLAY,T3_CROSS_CONTRACT_REPLAY,T5_DOMAIN_FRESHNESS_FAILURE",/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/ethereum/verified_sources/2023/0xbeb09beb09e95e6febf0d6eeb1d0d46d1013cc3c_BebopAggregationContract.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/ethereum/018_T3_CROSS_CONTRACT_REPLAY_0xbeb09beb09e95e6febf0d6eeb1d0d46d1013cc3c_BebopAggregationContract.sol,yes
ethereum,T4_LOGICAL_DOMAIN_REPLAY,High,"missing_eip191_prefix,missing_logical_domain_disambiguator","T1_UNSEPARATED_SIGNING_DOMAIN,T4_LOGICAL_DOMAIN_REPLAY",/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/ethereum/verified_sources/2021/0xd31df163963480cdc043221df80cec461ddab80e_HorusRouter02.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/ethereum/019_T4_LOGICAL_DOMAIN_REPLAY_0xd31df163963480cdc043221df80cec461ddab80e_HorusRouter02.sol,yes
ethereum,T4_LOGICAL_DOMAIN_REPLAY,High,"missing_eip191_prefix,missing_logical_domain_disambiguator","T1_UNSEPARATED_SIGNING_DOMAIN,T4_LOGICAL_DOMAIN_REPLAY",/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/ethereum/verified_sources/2023/0x86d7beb06908a2898ffcb535fe9c794be2d98240_UniswapV2Router02.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/ethereum/020_T4_LOGICAL_DOMAIN_REPLAY_0x86d7beb06908a2898ffcb535fe9c794be2d98240_UniswapV2Router02.sol,yes
